"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "lsize" "razd" "raz95d" "duacq" "dusco" "durg" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "persist" "eta"
30 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 18 17 16 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 0 1 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 8
35 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 45 46 44 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 7
35 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA 0 0 45 46 44 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 8
35 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 45 46 44 9 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 9
36 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 22 22 24 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 16
36 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA 0 0 22 22 24 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 17
36 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 22 22 24 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 18
41 NA NA NA NA NA NA NA NA NA "1992-01-01" 3178 1507 4709 342 -58 400 292 1209 NA 1 0 40 43 47 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.45723085024355 1 1 0 0 0 0 1 0 0 0.0729989327641409 1.16959064327485 0.258057630736393 8.45723085024355 0.998156685158956 1 0.123483853912901 0 0 17
41 NA NA NA NA NA NA NA NA NA "1993-01-01" 3839 1474 4407 94 -326 420 211 1263 NA 1 0 40 43 47 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.39094946484199 1 1 0 0 0 0 1 0 0 0.0176924524750612 4.46808510638298 0.237718802936194 8.39094946484199 0.994739892944572 1 0.118665919194348 0 0 18
41 NA NA NA NA NA NA NA NA NA "1994-01-01" 4803 1469 5646 395 -25 420 132 1337 NA 1 0 40 43 47 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.63870260881343 1 1 0 0 0 0 1 0 0 0.0629783163265306 1.06329113924051 0.213169642857143 8.63870260881343 0.894230769230769 1 0.111177201406444 0 0 19
43 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA NA NA 39 35 36 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 17
43 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA NA NA 39 35 36 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 18
43 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA NA NA 39 35 36 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 19
53 NA NA NA NA NA NA NA NA NA "1992-01-01" 2504 7223 1430 -2002 -2517 515 1332 5377 NA NA NA 27 25 23 21 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.26542972325395 NA 0 0 0 0 1 0 0 0 -0.205818854734245 -0.257242757242757 0.552791199753264 7.26542972325395 0.998156685158956 0 0.123483853912901 0 0 19
53 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA NA NA 27 25 23 21 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 20
