"X1" "X2" "X3" "X4" "X5" "X6" "X7"
1016 1992 1 0 0 1 0
1497 1992 1 0 0 1 0
1790 1992 1 0 0 1 0
1791 1992 1 0 0 1 0
1797 1992 1 0 0 1 0
1810 1992 1 0 0 1 0
1818 1992 1 0 0 1 0
1820 1992 1 0 0 1 0
1831 1992 1 0 0 1 0
1841 1992 1 0 0 1 0
1847 1992 1 0 0 1 0
1860 1992 1 0 0 1 0
1871 1992 1 0 0 1 0
1873 1992 1 0 0 1 0
1892 1992 1 0 0 1 0
1900 1992 1 0 0 1 0
1907 1992 1 0 0 1 0
1911 1992 1 0 0 1 0
1917 1992 1 0 0 1 0
1926 1992 1 0 0 1 0
1929 1992 1 0 0 1 0
1940 1992 1 0 0 1 0
1963 1992 1 0 0 1 0
1964 1992 1 0 0 1 0
1975 1992 1 0 0 1 0
1983 1992 1 0 0 1 0
1990 1992 1 0 0 1 0
1999 1992 1 0 0 1 0
2011 1992 1 0 0 1 0
2019 1992 1 0 0 1 0
2024 1992 1 0 0 1 0
2040 1992 1 0 0 1 0
2043 1992 1 0 0 1 0
2049 1992 1 0 0 1 0
2050 1992 1 0 0 1 0
2062 1992 1 0 0 1 0
2069 1992 1 0 0 1 0
2072 1992 1 0 0 1 0
2079 1992 1 0 0 1 0
2085 1992 1 0 0 1 0
2091 1992 1 0 0 1 0
2098 1992 1 0 0 1 0
2107 1992 1 0 0 1 0
2115 1992 1 0 0 1 0
2125 1992 1 0 0 1 0
2133 1992 1 0 0 1 0
2139 1992 1 0 0 1 0
2147 1992 1 0 0 1 0
2150 1992 1 0 0 1 0
2159 1992 1 0 0 1 0
2167 1992 1 0 0 1 0
5709 1992 1 0 0 1 0
5728 1992 1 0 0 1 0
5766 1992 1 0 0 1 0
5767 1992 1 0 0 1 0
5772 1992 1 0 0 1 0
5777 1992 1 0 0 1 0
9227 1998 1 0 0 1 0
