"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "razd" "raz01d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi01" "persist" "perdesi"
21880043 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 2845.16105708398 1252.407980292 5588.06364814824 302.12728596735 123.433198882387 178.694087084962 253.063880553848 997.278272141798 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 60 60 60 27 27 1 0 0 0 0 1 0 0 0 0.0737332997227124 0.591452991452991 0.243382908999244 8.6283881104602 0.682926829268293 0 0.0995614662892028 0 0 0 0
21880043 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 2424.24868432605 1360.34747220171 5183.67789616118 4.64811209180598 -135.828164460534 140.47627655234 349.641320683582 1009.15678082086 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 60 60 60 27 27 1 0 0 0 0 1 0 0 0 0.00122816593886479 30.2222222222183 0.266648471615721 8.55327010187353 0.598704696626315 1 0.100247520197656 0 0 0 0
21880043 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 2516 1310 5788 153 29 124 96 1212 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 60 60 60 27 27 1 0 0 0 0 1 0 0 0 0.0399895452169367 0.810457516339869 0.316779926816519 8.66354208775137 0.632456223065049 1 0.100114425048501 0 0 0 0
22590060 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 19 19 19 23 NA 1 0 0 0 1 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
22970368 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 337 364 394 23 NA 1 0 0 0 0 0 0 1 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
26830894 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 15 15 15 32 32 1 0 0 0 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
27120889 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 3991.69537306264 1504.95540394676 8260.21164403725 136.344621359624 51.6456899089478 84.6989314506758 0 1471.90216240504 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 40 40 48 42 42 1 0 0 0 0 1 0 0 0 0.0248050361740109 0.621212121212125 0.267781640514892 9.01920548895157 0.682926829268293 0 0.0995614662892028 0 0 0 0
27120889 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 4344.95189203985 2022.44521683443 7857.37526274745 -3.6151982936251 -88.3141297443009 84.6989314506758 0 1932.58171639286 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 40 40 48 42 42 1 0 0 0 0 1 0 0 0 -0.000567767053288788 -23.4285714285799 0.303512044772488 8.96920789361698 0.598704696626315 0 0.100247520197656 0 0 0 0
27120889 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 4675.48430745712 2359.69157193986 8373.83216183693 54.7444313034848 -36.6684398353543 91.4128711388391 0 2265.69641630558 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 40 40 48 42 42 1 0 0 0 0 1 0 0 0 0.0077815298781382 1.66981132075474 0.322052562032007 9.03286690360738 0.632456223065049 1 0.100114425048501 0 0 0 0
29770445 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 12 12 12 15 NA 1 0 0 0 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
