"X1" "X2" "X3" "X4" "X5" "X6" "X7"
1016 1994 0 0 1 0 0
1497 1994 0 0 1 0 0
1790 1994 0 0 1 0 0
1791 1994 0 0 1 0 0
1797 1994 0 0 1 0 0
1810 1994 0 0 1 0 0
1818 1994 0 0 1 0 0
1820 1994 0 0 1 0 0
1831 1994 0 0 1 0 0
1841 1994 0 0 1 0 0
1847 1994 0 0 1 0 0
1860 1994 0 0 1 0 0
1871 1994 0 0 1 0 0
1873 1994 0 0 1 0 0
1892 1994 0 0 1 0 0
1900 1994 0 0 1 0 0
1907 1994 0 0 1 0 0
1911 1994 0 0 1 0 0
1917 1994 0 0 1 0 0
1926 1994 0 0 1 0 0
1929 1994 0 0 1 0 0
1940 1994 0 0 1 0 0
1959 1994 0 0 1 0 0
1963 1994 0 0 1 0 0
1964 1994 0 0 1 0 0
1975 1994 0 0 1 0 0
1983 1994 0 0 1 0 0
1990 1994 0 0 1 0 0
1999 1994 0 0 1 0 0
2011 1994 0 0 1 0 0
2019 1994 0 0 1 0 0
2024 1994 0 0 1 0 0
2040 1994 0 0 1 0 0
2043 1994 0 0 1 0 0
2049 1994 0 0 1 0 0
2050 1994 0 0 1 0 0
2062 1994 0 0 1 0 0
2069 1994 0 0 1 0 0
2072 1994 0 0 1 0 0
2079 1994 0 0 1 0 0
2085 1994 0 0 1 0 0
2091 1994 0 0 1 0 0
2098 1994 0 0 1 0 0
2107 1994 0 0 1 0 0
2115 1994 0 0 1 0 0
2125 1994 0 0 1 0 0
2133 1994 0 0 1 0 0
2139 1994 0 0 1 0 0
2147 1994 0 0 1 0 0
2150 1994 0 0 1 0 0
2159 1994 0 0 1 0 0
2167 1994 0 0 1 0 0
5709 1994 0 0 1 0 0
5728 1994 0 0 1 0 0
5766 1994 0 0 1 0 0
5767 1994 0 0 1 0 0
5772 1994 0 0 1 0 0
5777 1994 0 0 1 0 0
9227 2000 0 0 1 0 0
