"X1" "X2" "X3" "X4" "X5" "X6" "X7"
1016 1993 0 1 0 1 0
1497 1993 0 1 0 1 0
1790 1993 0 1 0 1 0
1791 1993 0 1 0 1 0
1797 1993 0 1 0 1 0
1810 1993 0 1 0 1 0
1818 1993 0 1 0 1 0
1820 1993 0 1 0 1 0
1831 1993 0 1 0 1 0
1841 1993 0 1 0 1 0
1847 1993 0 1 0 1 0
1860 1993 0 1 0 1 0
1871 1993 0 1 0 1 0
1873 1993 0 1 0 1 0
1892 1993 0 1 0 1 0
1900 1993 0 1 0 1 0
1907 1993 0 1 0 1 0
1911 1993 0 1 0 1 0
1917 1993 0 1 0 1 0
1926 1993 0 1 0 1 0
1929 1993 0 1 0 1 0
1940 1993 0 1 0 1 0
1959 1993 0 1 0 1 0
1963 1993 0 1 0 1 0
1964 1993 0 1 0 1 0
1975 1993 0 1 0 1 0
1983 1993 0 1 0 1 0
1990 1993 0 1 0 1 0
1999 1993 0 1 0 1 0
2011 1993 0 1 0 1 0
2019 1993 0 1 0 1 0
2024 1993 0 1 0 1 0
2040 1993 0 1 0 1 0
2043 1993 0 1 0 1 0
2049 1993 0 1 0 1 0
2050 1993 0 1 0 1 0
2062 1993 0 1 0 1 0
2069 1993 0 1 0 1 0
2072 1993 0 1 0 1 0
2079 1993 0 1 0 1 0
2085 1993 0 1 0 1 0
2091 1993 0 1 0 1 0
2098 1993 0 1 0 1 0
2107 1993 0 1 0 1 0
2115 1993 0 1 0 1 0
2125 1993 0 1 0 1 0
2133 1993 0 1 0 1 0
2139 1993 0 1 0 1 0
2147 1993 0 1 0 1 0
2150 1993 0 1 0 1 0
2159 1993 0 1 0 1 0
2167 1993 0 1 0 1 0
5709 1993 0 1 0 1 0
5728 1993 0 1 0 1 0
5766 1993 0 1 0 1 0
5767 1993 0 1 0 1 0
5772 1993 0 1 0 1 0
5777 1993 0 1 0 1 0
9227 1999 0 1 0 1 0
